game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Under,Scottie Barnes,-115,28.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Over,Payton Pritchard,100,18.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Under,Payton Pritchard,-128,18.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Over,Jaylen Brown,-125,29.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Under,Jaylen Brown,-102,29.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Over,Jrue Holiday,-125,14.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_assists,Under,Jrue Holiday,-102,14.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Jakob Poeltl,-104,23.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Jakob Poeltl,-122,23.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Jrue Holiday,-113,15.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Jrue Holiday,-113,15.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Sam Hauser,-111,10.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Sam Hauser,-115,10.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Payton Pritchard,100,18.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Payton Pritchard,-128,18.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Derrick White,-108,20.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Derrick White,-118,20.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Jaylen Brown,-120,30.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Jaylen Brown,-106,30.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Jayson Tatum,-113,36.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Jayson Tatum,-113,36.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Al Horford,100,15.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Al Horford,-128,15.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Scottie Barnes,-115,28.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Scottie Barnes,-111,28.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Over,Ochai Agbaji,-128,12.5
ae970107e2737f57291b96263aed4ea9,12/31/2024,FALSE,FanDuel,12/31/2024,Boston Celtics,Toronto Raptors,player_points_rebounds,Under,Ochai Agbaji,100,12.5
